Receptor,subset,match_features,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop
GPR37,ef,5,dE(class),-0.16,61,11.023579,0.83551061,6.6170387,8.5815687,4.1643014,6.4070187,6,1,0,0,0,0,0,0,7,0,0.85714287,0.14285715,0,0,0,0,0,0
GPR37,ef,5,dE,-2.1716766,8,11.189826,1.1161094,6.0195689,6.2270732,4.1289968,5.2944789,0,3,1,0,1,2,0,0,7,0,0,0.42857143,0.14285715,0,0.14285715,0.2857143,0,0
GPR37,ef,5,dU(class),-1.0833334,60,10.394324,0.9044584,6.4938397,8.5815687,1.4261458,4.9055362,4,1,1,0,0,1,0,0,7,0,0.5714286,0.14285715,0.14285715,0,0,0.14285715,0,0
GPR37,ef,5,dU,-3.6923058,1,5.0127025,0.71085441,2.30474,5.3033195,3.5237751,4.4329104,1,0,0,0,6,0,0,0,7,0,0.14285715,0,0,0,0.85714287,0,0,0
GPR37,gh,5,dE(class),-1.6692948,33,11.38605,0.9044584,7.5283942,8.5815687,4.1643014,6.4197164,4,1,0,0,1,1,0,0,7,0,0.5714286,0.14285715,0,0,0.14285715,0.14285715,0,0
GPR37,gh,5,dE,-0.99230766,80,10.225062,0.69663572,4.1326251,6.2270732,4.1289968,5.2148366,0,3,1,0,0,3,0,0,7,0,0,0.42857143,0.14285715,0,0,0.42857143,0,0
GPR37,gh,5,dU(class),-1.1727272,113,10.560221,1.1680932,6.6087751,8.6257305,1.4261458,4.4392405,4,1,1,0,0,1,0,0,7,0,0.5714286,0.14285715,0.14285715,0,0,0.14285715,0,0
GPR37,gh,5,dU,-3.8989866,2,7.8698311,1.1780037,3.3133173,9.0913973,4.7624469,5.7264795,2,0,0,0,5,0,0,0,7,0,0.2857143,0,0,0,0.71428573,0,0,0
GPR37,moe,5,dE(class),-0.16428572,111,11.023579,0.9044584,6.4000092,8.5815687,4.1643014,6.3255968,4,1,0,0,0,2,0,0,7,0,0.5714286,0.14285715,0,0,0,0.2857143,0,0
GPR37,moe,5,dE,-2.1716766,8,11.189826,1.1161094,6.0195689,6.2270732,4.1289968,5.2944789,0,3,1,0,1,2,0,0,7,0,0,0.42857143,0.14285715,0,0.14285715,0.2857143,0,0
GPR37,moe,5,dU(class),-1.0076923,113,10.560221,1.1680932,6.6087751,8.6257305,1.4261458,4.4392405,4,1,1,0,0,1,0,0,7,0,0.5714286,0.14285715,0.14285715,0,0,0.14285715,0,0
GPR37,moe,5,dU,-4.0082402,0,5.0127025,0.71085441,2.6390684,5.745872,3.5237751,4.6903477,1,0,0,0,6,0,0,0,7,0,0.14285715,0,0,0,0.85714287,0,0,0
GPR37,rec_ef,5,dE(class),-1.5509905,2,14.527073,0.63309634,6.7351208,8.6208811,5.3033195,7.6463051,3,0,2,0,1,0,0,1,7,0,0.42857143,0,0.2857143,0,0.14285715,0,0,0.14285715
GPR37,rec_ef,5,dE,-3.525944,0,7.8991284,0.72283524,4.0660162,7.3033319,4.3216786,5.1529522,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR37,rec_ef,5,dU(class),-0.81538463,7,14.503666,0.9044584,8.4763794,8.5314007,5.1973338,6.8529077,4,0,2,0,0,0,0,1,7,0,0.5714286,0,0.2857143,0,0,0,0,0.14285715
GPR37,rec_ef,5,dU,-3.5852652,1,5.0127025,0.71085441,2.2642684,5.1822596,3.5237751,4.4156165,1,0,0,0,6,0,0,0,7,0,0.14285715,0,0,0,0.85714287,0,0,0
GPR37,rec_gh,5,dE(class),-1.9268708,1,15.267639,1.6646398,9.0299711,8.5992365,4.4014554,6.5113096,3,0,1,0,3,0,0,0,7,0,0.42857143,0,0.14285715,0,0.42857143,0,0,0
GPR37,rec_gh,5,dE,-2.0137393,11,14.307072,1.8174403,7.9774013,9.0524197,2.4767838,5.5256162,2,0,4,0,1,0,0,0,7,0,0.2857143,0,0.5714286,0,0.14285715,0,0,0
GPR37,rec_gh,5,dU(class),-2.3192949,19,13.700703,0.9044584,7.261549,8.5815687,1.4261458,5.5822592,4,0,2,0,1,0,0,0,7,0,0.5714286,0,0.2857143,0,0.14285715,0,0,0
GPR37,rec_gh,5,dU,-3.8989866,2,7.8698311,1.1780037,3.3133173,9.0913973,4.7624469,5.7264795,2,0,0,0,5,0,0,0,7,0,0.2857143,0,0,0,0.71428573,0,0,0
